SiteId,AuthorityDensity,WardDensity,WardApproximatedSocialGradeAb,WardApproximatedSocialGradeC1,WardApproximatedSocialGradeC2,WardApproximatedSocialGradeDe,GooglePlaceId,Latitude,Longitude,GoogleRating
C16FE6C5-5A0D-4C19-8FE3-E25E736DB52D,0.5,1.1,90,149,163,202,ChIJEeMJsT4IZUgRGdSrufHb09U,53.120549,-4.115344,4.8
B73BB3E1-57CF-48E8-81DD-63DAA247EA31,0.8,2.1,276,663,527,512,ChIJG8pFNmZyeEgRou1ZaJVM__I,53.0983026,-0.1778411,
9C20F373-9864-43E2-A783-1023B9A49440,33.1,128.3,2339,3262,861,1280,ChIJ8ecpfQqFdUgRhAbj1HkBiQ8,50.8219842,-0.1382083,
FF73EC87-7486-41E7-B77E-1FE84E7120C6,33.1,89.3,2318,2026,621,672,ChIJYdxVt2WFdUgRKryAcX3S3Yg,50.8371127,-0.1530253,4.5
739B1531-079A-4D22-A04F-50A0865C5C37,33.1,89.3,2318,2026,621,672,ChIJ4_dCJGOFdUgRWEsITLJKI5U,50.842498,-0.150085,
901189B2-43DF-4F0E-A21B-8B87B0B5F79D,33.1,104.5,1290,1365,434,594,ChIJEYvofEuFdUgRCxOSQ0pPwkc,50.8296945,-0.1811886,
D54F85ED-CECA-45A8-B4CB-C4D05A58DA90,33.1,128.3,2339,3262,861,1280,ChIJ-aIzmQqFdUgRO4N0iAsQRV8,50.8234469,-0.1379838,4.3
6A872CD8-753C-464D-A6B7-C3A42E0B86C7,26.2,38.7,531,817,550,883,ChIJLVVwyDxbeEgR6xowkDVQ5t4,53.2346742,-0.5406969,4.1
40128241-7700-4CC6-98B4-595E04E8BE6C,10.3,13.3,1016,1661,1239,1275,ChIJSWBsDRHge0gR8bWW0sfhtOg,53.740023,-1.6718504,
0497BEB7-F6CE-4F2B-A5D6-DE854428DBDC,10.3,18.9,1169,1760,1273,1452,ChIJw5M-CAPce0gReZUloJsc3Gk,53.6449412,-1.7554448,4.3
EDE73BE2-28A8-4C66-BD97-6E921C5A6BF5,2.2,13.1,472,454,236,206,ChIJveg-KBFxekgRqpuiUTxOyi4,52.7979224,-2.1463868,4.2
D81D71FE-BD0A-40CD-8981-71BAF6B04338,2.2,17.6,521,820,327,424,ChIJ71vINXpxekgR6jGdCCLAhGE,52.8062801,-2.1170461,4.2
72C062EC-F533-4667-8A8C-9448BD70375D,2.2,0.5,611,531,386,287,ChIJzeztBSFwekgRSLqlwOvbJuQ,52.8574542,-2.1856025,
F2830E33-3588-41F7-B26C-B6FF38E58865,39.1,54.8,2101,3081,464,782,ChIJP4rC_c2NcUgR7uncW1KIUGU,51.4492496,-2.6080107,
C398B85E-7D65-4231-BC5D-1CA470ECC120,9,20.3,673,987,783,1637,ChIJy-WwO4t2eUgRkzz1jkAJWzY,53.4298247,-1.3487917,
8317E286-F8B0-4092-8322-16E6E02520B3,4.7,4,151,345,360,468,ChIJB6ZaneuZeUgRT7NWxYgB65M,53.231301,-1.297124,4.4
E48F9411-4B08-44D4-9E56-B6C9EFB087E1,1.4,18.4,499,554,310,374,ChIJZfK0JvLrc0gRzhj2wD5Tkcc,51.0649085,-1.7972886,4.6
AF6A5561-BA1E-4F27-8155-4AA74691720F,1,26,486,520,327,387,ChIJBwvIoVCeekgRQ2xo32Mo3oM,52.7070984,-2.7544532,
09B19437-16C5-41EA-9DE7-09B4E5159BA5,0.7,4.1,140,216,187,161,ChIJ3V_QP0WUfEgR_5mcUt1tMO8,54.34288,-2.922116,
BED42FCB-F792-4535-A6B8-1AA9623EEF98,0.7,26.5,194,209,171,220,ChIJb5I6iN2NfEgR6dScrQFbMzo,54.3229726,-2.7439569,
12F790BF-0610-4ABB-AE11-D0601EDC654B,0.7,26.5,194,209,171,220,ChIJ0WdkY-eNfEgRp2xNm4i7Dq0,54.3229726,-2.7439569,
6A2CDE22-E425-44BD-9B9B-A745DCA74AA1,5.9,41.9,443,703,444,458,ChIJKTKy_QZoekgRjVUVcnzTrv0,53.017182,-2.21932,4.2
B9CD335C-55FF-4289-B6F6-169388AF71BE,15.6,7.2,710,381,118,94,ChIJfV8qoSHYdUgRESvbl-5PFKs,51.3223252,-0.5584029,
C2A48EC5-5014-45D0-8E3B-C79469ACD8E0,39.1,54.8,2101,3081,464,782,ChIJ1S9mM9uNcUgREpIiA4znvuw,51.4581588,-2.6082874,
99EAF406-AE02-47EF-928F-49ABFB674D3E,0.3,5.6,217,353,186,198,ChIJC-bc8O4ybkgR8017aNkVJSI,51.9444416,-3.383827,
256FAB4C-1147-487C-BCE1-2D027771DE4C,12.4,6.9,268,573,727,768,ChIJD_jKdMwKekgRdcyCf_5IwCE,52.7121951,-1.9905477,
80CCCE7F-106E-4BB5-BA3D-66AAACE51804,3,26.9,395,440,267,401,ChIJCX5h1Y6ncEgRYvl6N5ZFvnY,52.6834809,-1.827869,
7A7A7E0A-4FE5-4013-B884-0D261380B4D5,26.2,22.6,922,1571,515,874,ChIJQRGSDCJbeEgRe9CSngElv5A,53.237886,-0.5448326,4.4
43DFB049-2F41-4DB7-8556-3608E64C1B5A,31.9,54.5,616,1499,904,3338,ChIJsYzSzD3xeUgRotc-6izfaQ8,52.923039,-1.480145,4.2
98EC2C40-2898-4F9A-B590-C4182B36631A,31.9,28.9,1675,1753,727,1079,ChIJcwI0ZDnxeUgRBcD8PXLBavc,52.9242422,-1.4859356,
5051CB72-34A6-4621-87C7-D29C36268CA8,31.9,54.5,616,1499,904,3338,ChIJtRe8ixXxeUgRCIOnSrwI9tY,52.92569,-1.475733,4.1
5A0C7967-778A-46D3-88F5-41EE3B2A7428,45,55.4,1818,4379,660,1591,ChIJPa_UniNhd0gRyFjjb2h60hE,52.6289384,-1.127775,4.4
2F1A4636-0AEF-4934-B5A9-9EF43BA274CA,33.3,32.8,64,28,22,25,ChIJ4fRrQLDGdkgR_aSEJulR09c,51.7513071,-1.2571815,4.1
